ID,State,StartTime,EndTime,StopTime,duration,workTag,Tags,runAttemptCount,stopReason,Pid/Tid,Temp(℃),totalPSS(MB),CPU(%),msg
502248a5-c658-4d7f-b0a9-0846dda99f86-0,END,2026/07/14 03:35:45.743,2026/07/14 03:35:45.864,,00:00:00.121,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9246,36.3,77.0,19.4,contacts:68:noData:36.3:-24.4:-1.2:on;contacts:67:16.7:0.00:-24.6:-1.0:0:0:0:1;
a19a0184-62f5-4a93-aa7c-617b08ef9117-0,END,2026/07/14 03:35:45.747,2026/07/14 03:35:45.795,,00:00:00.048,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9245,36.3,100.6,22.3,my_contact_profile:8:noData:36.3:0.2:0.0:on;my_contact_profile:7:0.0:0.00:0.1:0.0:0:0:0:1;
192a1b5c-69d5-41c0-8f92-1d2e60e8c535-0,END,2026/07/14 03:35:35.707,2026/07/14 03:35:35.710,,00:00:00.003,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9245,36.4,98.5,0.0,
c73093fc-8667-4ca5-905d-36750010581c-0,END,2026/07/14 03:35:35.702,2026/07/14 03:35:35.709,,00:00:00.007,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,36.4,98.5,0.0,
d327d558-9c75-410c-8b72-928d248c4146-0,END,2026/07/14 03:34:46.705,2026/07/14 03:34:46.839,,00:00:00.134,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9561,36.9,99.8,11.3,contacts:96:noData:36.9:0.5:-0.4:on;contacts:94:11.5:0.00:0.4:-0.4:0:0:0:1;
e3885dc7-78a7-4d90-b45b-ab09b6599526-0,END,2026/07/14 03:34:46.738,2026/07/14 03:34:46.786,,00:00:00.048,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9844,36.9,98.7,13.8,my_contact_profile:14:noData:36.9:0.3:0.1:on;my_contact_profile:13:8.5:0.00:0.1:0.0:0:0:0:1;
5b1725d1-27e9-4220-b193-1eddba49e389-0,END,2026/07/14 03:34:36.674,2026/07/14 03:34:36.698,,00:00:00.024,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9245,36.2,95.6,5.8,
276eec7e-1520-4836-8f15-ec4a488cfd86-0,END,2026/07/14 03:34:36.674,2026/07/14 03:34:36.684,,00:00:00.010,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,36.2,94.6,9.0,
cbf4bbe4-905f-429d-b3af-2c994464e921-0,END,2026/07/14 03:16:49.898,2026/07/14 03:16:50.127,,00:00:00.229,REALTIME_ANALYSIS,call_log,0,NOT_STOPPED,8838/9844,34.8,99.8,11.4,
f69c0e06-2ae3-45f5-91c9-f06fb83e99a6-0,END,2026/07/14 03:16:47.754,2026/07/14 03:16:47.873,,00:00:00.119,REALTIME_DATA_COLLECTOR,call_log,0,NOT_STOPPED,8838/9246,34.8,98.5,7.6,call_log:82:success:34.8:1.3:0.2:on;call_log:76:5.5:0.00:1.1:0.2:0:1:0:1;
17c10f1c-eea0-4fdc-bfa4-ea1f04018d6b-0,END,2026/07/14 03:16:37.736,2026/07/14 03:16:37.741,,00:00:00.005,DATA_OBSERVER,call_log,0,NOT_STOPPED,8838/9561,34.8,96.9,0.0,
24f5a4d0-8c13-4fef-bcc0-fabdb07d6c89-0,END,2026/07/14 03:16:26.467,2026/07/14 03:16:27.008,,00:00:00.541,REALTIME_ANALYSIS,call_log,0,NOT_STOPPED,8838/9246,34.9,96.9,9.2,
4e08fe3e-9488-4f38-a165-4b51860db760-0,END,2026/07/14 03:16:24.002,2026/07/14 03:16:24.427,,00:00:00.425,REALTIME_DATA_COLLECTOR,call_log,0,NOT_STOPPED,8838/9844,34.9,89.2,6.5,call_log:351:success:34.9:1.2:0.0:on;call_log:296:5.2:0.00:1.0:-0.0:1:0:0:1;
d0fc5567-1ec4-419d-89ff-df7effe3da71-0,END,2026/07/14 03:16:13.905,2026/07/14 03:16:13.944,,00:00:00.039,DATA_OBSERVER,call_log,0,NOT_STOPPED,8838/9245,34.9,80.5,4.9,
e7031fb1-8d18-4041-bee0-08daf5899008-0,END,2026/07/14 03:00:42.776,2026/07/14 03:00:42.863,,00:00:00.087,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,38.8,80.2,16.6,contacts:45:noData:38.8:0.5:0.0:on;contacts:43:12.8:0.00:0.3:-0.0:0:0:0:1;
d0958104-8766-4a98-9787-1606eb430502-0,END,2026/07/14 03:00:42.781,2026/07/14 03:00:42.822,,00:00:00.041,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9844,38.8,79.9,20.0,my_contact_profile:7:noData:38.8:0.3:0.1:on;my_contact_profile:6:0.0:0.00:0.2:0.1:0:0:0:1;
1be5a9cc-1a3d-4957-8d8e-ade7b14b4111-0,END,2026/07/14 03:00:41.115,2026/07/14 03:00:41.120,,00:00:00.005,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,38.8,79.5,0.0,
ba4e3256-96b1-4a51-9556-9ee905ba1462-0,END,2026/07/14 03:00:41.106,2026/07/14 03:00:41.119,,00:00:00.013,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,38.8,79.5,8.5,
52e85356-b879-4558-b015-23684dc302ad-0,END,2026/07/14 03:00:32.749,2026/07/14 03:00:32.753,,00:00:00.004,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9245,39.2,81.6,0.0,
aad61c07-3670-4e8a-a8ef-878c72831b4f-0,END,2026/07/14 03:00:32.749,2026/07/14 03:00:32.752,,00:00:00.003,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,39.2,81.5,0.0,
